ID,KOde Provinsi,Nama Provinsi,Kode Kabupaten Kota,Nama Kabupaten Kota,BPS Kode Kecamatan,BPS Nama Kecamatan,Kemendagri Kode Kecamatan,Kemendragi Nama Kecamatan,Nama Sekolah,NPSN,Status Sekolah,Alamat Sekolah,Tahun
1,32,JAWA BARAT,3201,KABUPATEN BOGOR,3201010,NANGGUNG,3201,NANGGUNG,SMAN 1 NANGGUNG,20254612,NEGERI,JL. PASIR SARI DESA NANGGUNG KECAMATAN NANGGUNG,2023
2,32,JAWA BARAT,3201,KABUPATEN BOGOR,3201020,LEUWILIANG,3201,LEUWILIANG,SMAN 1 LEUWILIANG,20200601,NEGERI,KP. SAWAH KULON NO. 47 RT.04/02 JL. RAYA LEUWILIANG,2023
3,32,JAWA BARAT,3201,KABUPATEN BOGOR,3201020,LEUWILIANG,3201,LEUWILIANG,SMA PLUS LIWAUL FURQON,69824824,SWASTA,JL.RAYA KARACAK RT 03 RW 04 KARACAK LEUWILIANG BOGOR,2023
4,32,JAWA BARAT,3201,KABUPATEN BOGOR,3201020,LEUWILIANG,3201,LEUWILIANG,SMA RAUDHATUL MUTTAQIN,70034161,SWASTA,KP. SINARJAYA RT.02 RW.01,2023
5,32,JAWA BARAT,3201,KABUPATEN BOGOR,3201020,LEUWILIANG,3201,LEUWILIANG,SMAS AL HUSNA,20232307,SWASTA,KOM. BTN LEUWILIANG PERMAI NO. 99 DS. CIBEBER I,2023
6,32,JAWA BARAT,3201,KABUPATEN BOGOR,3201020,LEUWILIANG,3201,LEUWILIANG,SMAS MAFAZAH,20231313,SWASTA,JL. MOH NOH NUR BARENGKOK RT.002 RW.001,2023
7,32,JAWA BARAT,3201,KABUPATEN BOGOR,3201020,LEUWILIANG,3201,LEUWILIANG,SMAS MANDALA,20231315,SWASTA,JL. HEGARSARI NO. 10 LEUWILIANG DS. CIBEBER I,2023
8,32,JAWA BARAT,3201,KABUPATEN BOGOR,3201020,LEUWILIANG,3201,LEUWILIANG,SMAS MUHAMMADIYAH PURASEDA,20253120,SWASTA,JL. RAYA PURASEDA LEUWILIANG,2023
9,32,JAWA BARAT,3201,KABUPATEN BOGOR,3201020,LEUWILIANG,3201,LEUWILIANG,SMAS PGRI LEUWILIANG,20200669,SWASTA,JL. ANYAR CIBEBER LEUWILIANG DS. CIBEBER I,2023
10,32,JAWA BARAT,3201,KABUPATEN BOGOR,3201021,LEUWISADENG,3201,LEUWISADENG,SMA NEGERI 1 LEUWISADENG,69954894,NEGERI,JL. RAYA HAMBARO - LEUWISADENG KM. 02 KP. KALIPASIR RT. 004 RW. 002,2023
11,32,JAWA BARAT,3201,KABUPATEN BOGOR,3201021,LEUWISADENG,3201,LEUWISADENG,SMAS TERPADU ATAM BINA INSANI,20232404,SWASTA,JL. ACE TABRANI KM. 01 PANJAUNGAN,2023
12,32,JAWA BARAT,3201,KABUPATEN BOGOR,3201030,PAMIJAHAN,3201,PAMIJAHAN,SMAN 1 PAMIJAHAN,20231334,NEGERI,JL. GUNUNG SALAK ENDAH KM. 03,2023
13,32,JAWA BARAT,3201,KABUPATEN BOGOR,3201030,PAMIJAHAN,3201,PAMIJAHAN,SMA AL AMIN,69827809,SWASTA,JL.TAMRIN NO. 1 CIBENING,2023
14,32,JAWA BARAT,3201,KABUPATEN BOGOR,3201030,PAMIJAHAN,3201,PAMIJAHAN,SMA PEMBERDAYAAN UMMAT AN NAHL,69899711,SWASTA,KP.PASAR KEMIS RT 03 RW 03 GUNUNG PICUNG PAMIJAHAN BOGOR,2023
15,32,JAWA BARAT,3201,KABUPATEN BOGOR,3201030,PAMIJAHAN,3201,PAMIJAHAN,SMAS AL IJTIHAD,20231268,SWASTA,JL. KAPTEN DASUKI BAKRI DESA CIMAYANG,2023
16,32,JAWA BARAT,3201,KABUPATEN BOGOR,3201030,PAMIJAHAN,3201,PAMIJAHAN,SMAS IBNU HAJAR,20232339,SWASTA,JL. KH. ABDUL HAMID KM .07 PASAREAN,2023
17,32,JAWA BARAT,3201,KABUPATEN BOGOR,3201030,PAMIJAHAN,3201,PAMIJAHAN,SMAS ISLAM PAMBUDI LUHUR,20231304,SWASTA,JL. GUNUNG SALAK ENDAH DESA CIBENING PAMIJAHAN,2023
18,32,JAWA BARAT,3201,KABUPATEN BOGOR,3201030,PAMIJAHAN,3201,PAMIJAHAN,SMAS MAN ANA,69774834,SWASTA,KP. SUSUKAN DESA GUNUNG PICUNG RT. 02 RW. 02,2023
19,32,JAWA BARAT,3201,KABUPATEN BOGOR,3201030,PAMIJAHAN,3201,PAMIJAHAN,SMAS MUHAMMADIYAH PAMIJAHAN,20232368,SWASTA,"JLN. K.H. ABDUL HAMID KM.15, KP. SINDANG BARU",2023
20,32,JAWA BARAT,3201,KABUPATEN BOGOR,3201030,PAMIJAHAN,3201,PAMIJAHAN,SMAS PLUS IBNU SINA,69775678,SWASTA,JL. CIKAMPAK - SEGOG KM 9,2023
21,32,JAWA BARAT,3201,KABUPATEN BOGOR,3201040,CIBUNGBULANG,3201,CIBUNGBULANG,SMAN 1 CIBUNGBULANG,20231324,NEGERI,JALAN KAPTEN DASUKI BAKRI DESA CIBATOK 01,2023
